"tmpd","date","month","year","tempc"
31.5,1987-01-01,"1",1987,-0.277777777777778
33,1987-01-02,"1",1987,0.555555555555556
33,1987-01-03,"1",1987,0.555555555555556
29,1987-01-04,"1",1987,-1.66666666666667
32,1987-01-05,"1",1987,0
40,1987-01-06,"1",1987,4.44444444444444
34.5,1987-01-07,"1",1987,1.38888888888889
29,1987-01-08,"1",1987,-1.66666666666667
26.5,1987-01-09,"1",1987,-3.05555555555556
32.5,1987-01-10,"1",1987,0.277777777777778
29.5,1987-01-11,"1",1987,-1.38888888888889
34.5,1987-01-12,"1",1987,1.38888888888889
34,1987-01-13,"1",1987,1.11111111111111
37.5,1987-01-14,"1",1987,3.05555555555556
32.5,1987-01-15,"1",1987,0.277777777777778
25,1987-01-16,"1",1987,-3.88888888888889
27,1987-01-17,"1",1987,-2.77777777777778
17.5,1987-01-18,"1",1987,-8.05555555555556
23,1987-01-19,"1",1987,-5
20.5,1987-01-20,"1",1987,-6.38888888888889
22,1987-01-21,"1",1987,-5.55555555555556
19.5,1987-01-22,"1",1987,-6.94444444444444
2.5,1987-01-23,"1",1987,-16.3888888888889
2,1987-01-24,"1",1987,-16.6666666666667
9.5,1987-01-25,"1",1987,-12.5
16,1987-01-26,"1",1987,-8.88888888888889
17.5,1987-01-27,"1",1987,-8.05555555555556
29.5,1987-01-28,"1",1987,-1.38888888888889
29.5,1987-01-29,"1",1987,-1.38888888888889
32.5,1987-01-30,"1",1987,0.277777777777778
27.5,1987-01-31,"1",1987,-2.5
41,1987-02-01,"2",1987,5
36.5,1987-02-02,"2",1987,2.5
34,1987-02-03,"2",1987,1.11111111111111
31.5,1987-02-04,"2",1987,-0.277777777777778
29.5,1987-02-05,"2",1987,-1.38888888888889
37,1987-02-06,"2",1987,2.77777777777778
40.5,1987-02-07,"2",1987,4.72222222222222
32.5,1987-02-08,"2",1987,0.277777777777778
24.5,1987-02-09,"2",1987,-4.16666666666667
35,1987-02-10,"2",1987,1.66666666666667
39.5,1987-02-11,"2",1987,4.16666666666667
34,1987-02-12,"2",1987,1.11111111111111
34.5,1987-02-13,"2",1987,1.38888888888889
31.5,1987-02-14,"2",1987,-0.277777777777778
23.5,1987-02-15,"2",1987,-4.72222222222222
24,1987-02-16,"2",1987,-4.44444444444444
31.5,1987-02-17,"2",1987,-0.277777777777778
31.5,1987-02-18,"2",1987,-0.277777777777778
34,1987-02-19,"2",1987,1.11111111111111
32.5,1987-02-20,"2",1987,0.277777777777778
38,1987-02-21,"2",1987,3.33333333333333
35.5,1987-02-22,"2",1987,1.94444444444444
35.5,1987-02-23,"2",1987,1.94444444444444
31.5,1987-02-24,"2",1987,-0.277777777777778
34.5,1987-02-25,"2",1987,1.38888888888889
36,1987-02-26,"2",1987,2.22222222222222
39.5,1987-02-27,"2",1987,4.16666666666667
40,1987-02-28,"2",1987,4.44444444444444
39,1987-03-01,"3",1987,3.88888888888889
41,1987-03-02,"3",1987,5
36.5,1987-03-03,"3",1987,2.5
38,1987-03-04,"3",1987,3.33333333333333
44,1987-03-05,"3",1987,6.66666666666667
48.5,1987-03-06,"3",1987,9.16666666666667
59.5,1987-03-07,"3",1987,15.2777777777778
54.5,1987-03-08,"3",1987,12.5
31,1987-03-09,"3",1987,-0.555555555555556
25.5,1987-03-10,"3",1987,-3.61111111111111
28.5,1987-03-11,"3",1987,-1.94444444444444
33.5,1987-03-12,"3",1987,0.833333333333333
34,1987-03-13,"3",1987,1.11111111111111
37,1987-03-14,"3",1987,2.77777777777778
35,1987-03-15,"3",1987,1.66666666666667
37.5,1987-03-16,"3",1987,3.05555555555556
38.5,1987-03-17,"3",1987,3.61111111111111
39.5,1987-03-18,"3",1987,4.16666666666667
41.5,1987-03-19,"3",1987,5.27777777777778
43,1987-03-20,"3",1987,6.11111111111111
